run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm,raw,ra,bilstm,bilstm,0.9005,0.8035,0.9780,0.2217,0.5755,0.8443,0.7390,6.0040,0.7588,0.6788,0.9270,0.4161,0.4745,0.7080,1.4307,10.5049,0.8579,20,196.6
raw_qar_bilstm,raw,qar,bilstm,bilstm,0.8342,0.6950,0.9607,0.3459,0.3742,0.7075,1.2783,10.4013,0.7414,0.6788,0.9124,0.4234,0.3723,0.6642,1.6788,12.7981,0.8374,18,200.7
clean_ra_bilstm,clean,ra,bilstm,bilstm,0.8816,0.7657,0.9748,0.2610,0.5126,0.8019,0.8648,7.0667,0.7624,0.6496,0.9270,0.4307,0.4672,0.6861,1.5547,11.6910,0.8150,17,203.0
clean_qar_bilstm,clean,qar,bilstm,bilstm,0.8426,0.6840,0.9764,0.3412,0.4481,0.7154,1.1415,9.2653,0.6241,0.6058,0.8978,0.5401,0.3869,0.6058,1.8029,13.7470,0.8141,16,206.3
segment_ra_bilstm,segment,ra,bilstm,bilstm,0.7229,0.6101,0.9277,0.4717,0.3632,0.6399,1.5865,13.0206,0.7688,0.6058,0.9489,0.4453,0.3358,0.6423,1.6861,13.0839,0.7594,7,145.1
segment_qar_bilstm,segment,qar,bilstm,bilstm,0.5304,0.4575,0.8601,0.6918,0.3522,0.4796,2.0519,17.0536,0.5403,0.4745,0.8467,0.6788,0.3504,0.4599,2.1533,17.4209,0.6611,4,122.6
